
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
71,Fiji,1956,2012,79,9,,,,,1988,2002,2,2,,,,
72,Finland,1906,2012,1594,27,106,86,119,311,1924,2014,723,12,42,62,57,161
73,France,1896,2012,5095,42,222,234,271,727,1924,2014,823,16,31,31,47,109
74,Gabon,1972,2012,45,5,,1,,1,,,,,,,,
75,Gambia,1984,2012,29,3,,,,,,,,,,,,
76,Georgia,1996,2012,124,18,6,5,14,25,1994,2014,15,4,,,,
77,Germany,1896,2012,3707,38,213,248,267,728,1928,2014,891,15,86,84,58,228
78,Ghana,1952,2012,231,6,,1,3,4,2010,2010,1,1,,,,
79,Great Britain,1896,2012,5447,43,245,290,276,811,1924,2014,642,16,10,4,12,26
80,Greece,1896,2012,1593,36,39,56,52,147,1936,2014,66,8,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
81,Grenada,1984,2012,40,4,1,,,1,,,,,,,,
82,Guam,1988,2012,62,10,,,,,1988,1988,1,1,,,,
83,Guatemala,1932,2012,222,19,,1,,1,1988,1988,6,2,,,,
84,Guinea,1968,2012,55,7,,,,,,,,,,,,
85,Guinea Bissau,1996,2012,12,2,,,,,,,,,,,,
86,Guyana,1948,2012,70,6,,,1,1,,,,,,,,
87,Haiti,1900,2012,67,11,,1,1,2,,,,,,,,
88,Honduras,1968,2012,113,12,,,,,1992,1992,1,1,,,,
89,Hong Kong,1952,2012,292,19,1,1,1,3,2002,2014,4,1,,,,
90,Hungary,1896,2012,2495,32,170,151,169,490,1924,2014,206,10,,2,4,6
91,Iceland,1908,2012,220,12,,2,2,4,1948,2014,75,3,,,,
92,India,1900,2012,791,22,9,6,11,26,1924,2014,21,4,,,,
93,Individual Olympic Athletes,1992,2012,66,16,,1,2,3,2014,2014,1,1,,,,
94,Indonesia,1952,2012,257,20,6,10,11,27,,,,,,,,
95,Iran,1900,2012,463,21,15,20,25,60,1956,2014,24,2,,,,
96,Iraq,1948,2012,174,14,,,1,1,,,,,,,,
97,Ireland,1924,2012,716,24,9,9,13,31,1992,2014,27,5,,,,
98,Israel,1952,2012,306,21,1,1,5,7,1994,2014,13,3,,,,
99,Italy,1896,2012,3818,35,211,177,189,577,1924,2014,938,16,37,34,43,114
100,Jamaica,1948,2012,320,13,17,30,20,67,1988,2014,11,2,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
101,Japan,1912,2012,3035,35,130,126,144,400,1928,2014,800,15,10,17,18,45
102,Jordan,1980,2012,55,10,,,,,,,,,,,,
103,Kazakhstan,1996,2012,433,24,16,17,19,52,1994,2014,192,11,1,3,3,7
104,Kenya,1956,2012,452,14,25,32,29,86,1998,2006,1,1,,,,
105,Kiribati,2004,2012,7,2,,,,,,,,,,,,
106,Kuwait,1968,2012,192,13,,,2,2,,,,,,,,
107,Kyrgyzstan,1996,2012,110,13,,1,2,3,1994,2014,7,4,,,,
108,Laos,1980,2012,43,5,,,,,,,,,,,,
109,Latvia,1924,2012,239,20,3,11,5,19,1924,2014,194,12,,4,3,7
110,Lebanon,1948,2012,140,13,,2,2,4,1948,2014,31,3,,,,
111,Lesotho,1972,2012,45,4,,,,,,,,,,,,
112,Liberia,1956,2012,40,2,,,,,,,,,,,,
113,Libya,1968,2012,61,8,,,,,,,,,,,,
114,Liechtenstein,1936,2012,51,8,,,,,1936,2014,80,4,2,2,5,9
115,Lithuania,1924,2012,257,18,6,5,10,21,1928,2014,26,6,,,,
116,Luxembourg,1900,2012,363,19,4,2,,6,1928,2014,12,4,,2,,2
117,Macedonia,1996,2012,32,5,,,1,1,1998,2014,10,2,,,,
118,Madagascar,1964,2012,72,8,,,,,2006,2006,1,1,,,,
119,Malawi,1972,2012,54,4,,,,,,,,,,,,
120,Malaya,1956,1960,40,5,,,,,,,,,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
121,Malaysia,1964,2012,282,19,,3,3,6,,,,,,,,
122,Maldives,1988,2012,29,3,,,,,,,,,,,,
123,Mali,1964,2012,70,7,,,,,,,,,,,,
124,Malta,1928,2012,77,9,,,,,2014,2014,1,1,,,,
125,Marshall Islands,2008,2012,8,3,,,,,,,,,,,,
126,Mauritania,1984,2012,21,2,,,,,,,,,,,,
127,Mauritius,1984,2012,80,13,,,1,1,,,,,,,,
128,Mexico,1900,2012,1426,31,13,21,27,61,1928,2014,32,5,,,,
129,Moldova,1996,2012,101,10,,2,5,7,1994,2014,15,4,,,,
130,Monaco,1920,2012,67,14,,,1,1,1984,2014,16,2,,,,
131,Mongolia,1964,2012,226,10,2,9,13,24,1964,2014,39,4,,,,
132,Montenegro,2008,2012,41,8,,1,,1,2010,2014,3,1,,,,
133,Morocco,1960,2012,403,20,6,5,11,22,1968,2014,24,2,,,,
134,Mozambique,1980,2012,47,4,1,,1,2,,,,,,,,
135,Myanmar,1948,2012,79,11,,,,,,,,,,,,
136,Namibia,1992,2012,34,7,,4,,4,,,,,,,,
137,Nauru,1996,2012,8,2,,,,,,,,,,,,
138,Nepal,1964,2012,70,7,,,,,1924,2014,3,2,,,,
139,Netherlands,1900,2012,2581,33,79,88,109,276,1928,2014,214,8,37,38,35,110
140,Netherlands Antilles,1952,2008,52,11,,1,,1,1988,1992,3,2,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
141,New Zealand,1900,2012,1112,30,42,18,39,99,1952,2014,90,11,,1,,1
142,Newfoundland,1904,1904,1,1,,,,,,,,,,,,
143,Nicaragua,1968,2012,91,10,,,,,,,,,,,,
144,Niger,1964,2012,36,5,,,1,1,,,,,,,,
145,Nigeria,1952,2012,513,14,3,8,12,23,,,,,,,,
146,North Borneo,1956,1956,2,1,,,,,,,,,,,,
147,North Korea,1972,2012,325,16,14,12,21,47,1964,2010,62,5,,1,1,2
148,North Yemen,1984,1988,10,3,,,,,,,,,,,,
149,Norway,1900,2012,1371,26,59,51,44,154,1924,2014,820,15,118,111,100,329
150,Oman,1984,2012,39,6,,,,,,,,,,,,
151,Pakistan,1948,2012,354,11,3,3,4,10,2010,2014,2,1,,,,
152,Palau,2000,2012,18,5,,,,,,,,,,,,
153,Palestine,1996,2012,15,3,,,,,,,,,,,,
154,Panama,1928,2012,79,11,1,,2,3,,,,,,,,
155,Papua New Guinea,1976,2012,56,8,,,,,,,,,,,,
156,Paraguay,1968,2012,97,11,,1,,1,2014,2014,1,1,,,,
157,Peru,1900,2012,328,23,1,3,,4,2010,2014,3,2,,,,
158,Philippines,1924,2012,375,19,,2,7,9,1972,2014,5,3,,,,
159,Poland,1912,2012,2325,30,67,84,128,279,1924,2014,511,15,6,7,7,20
160,Portugal,1912,2012,661,28,4,8,11,23,1952,2014,12,5,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
161,Puerto Rico,1948,2012,516,22,,2,6,8,1984,1998,17,5,,,,
162,Qatar,1984,2012,108,10,,,4,4,,,,,,,,
163,Rhodesia,1960,1960,14,6,,,,,,,,,,,,
164,Romania,1900,2012,1455,28,88,94,119,301,1928,2014,281,13,,,1,1
165,Russia,1900,2012,1637,33,134,126,145,405,1994,2014,616,15,49,40,35,124
166,Rwanda,1984,2012,32,4,,,,,,,,,,,,
167,Saar,1952,1952,36,9,,,,,,,,,,,,
168,Saint Kitts and Nevis,1996,2012,17,1,,,,,,,,,,,,
169,Saint Lucia,1996,2012,17,3,,,,,,,,,,,,
170,Saint Vincent and the Grenadines,1988,2012,25,2,,,,,,,,,,,,
171,Samoa,1984,2012,45,9,,,,,,,,,,,,
172,San Marino,1960,2012,74,11,,,,,1976,2014,15,3,,,,
173,Sao Tome and Principe,1996,2012,11,2,,,,,,,,,,,,
174,Saudi Arabia,1972,2012,142,12,,1,2,3,,,,,,,,
175,Senegal,1964,2012,215,13,,1,,1,1984,2010,3,1,,,,
176,Serbia,1912,2012,159,16,1,2,4,7,2010,2014,15,5,,,,
177,Serbia and Montenegro,1996,2004,193,19,2,4,3,9,1998,2006,12,5,,,,
178,Seychelles,1980,2012,58,8,,,,,,,,,,,,
179,Sierra Leone,1968,2012,58,5,,,,,,,,,,,,
180,Singapore,1948,2012,156,15,,2,2,4,,,,,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
181,Slovakia,1996,2012,232,21,7,9,8,24,1994,2014,201,12,2,2,1,5
182,Slovenia,1992,2012,226,16,4,6,9,19,1992,2014,158,11,2,4,9,15
183,Solomon Islands,1984,2012,18,5,,,,,,,,,,,,
184,Somalia,1972,2012,20,1,,,,,,,,,,,,
185,South Africa,1904,2012,852,31,23,27,28,78,1960,2010,11,5,,,,
186,South Korea,1948,2012,2003,31,81,82,80,243,1948,2014,257,13,26,17,10,53
187,South Vietnam,1952,1972,39,7,,,,,,,,,,,,
188,South Yemen,1988,1988,5,2,,,,,,,,,,,,
189,Soviet Union,1952,1988,2475,27,395,319,296,1010,1956,1988,473,10,78,57,59,194
190,Spain,1900,2012,2325,35,37,59,35,131,1936,2014,132,10,1,,1,2
191,Sri Lanka,1948,2012,87,10,,2,,2,,,,,,,,
192,Sudan,1960,2012,76,8,,1,,1,,,,,,,,
193,Suriname,1968,2012,28,5,1,,1,2,,,,,,,,
194,Swaziland,1972,2012,41,6,,,,,1992,1992,1,1,,,,
195,Sweden,1896,2012,2801,34,144,169,185,498,1924,2014,902,14,50,40,54,144
196,Switzerland,1896,2012,1811,36,55,80,67,202,1924,2014,1007,15,50,40,48,138
197,Syria,1948,2012,129,12,1,1,1,3,,,,,,,,
198,Tajikistan,1996,2012,38,10,,1,2,3,2002,2014,2,1,,,,
199,Tanzania,1964,2012,105,4,,2,,2,,,,,,,,
200,Thailand,1952,2012,422,20,7,6,11,24,2002,2014,3,2,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
201,Timor Leste,2004,2012,5,1,,,,,2014,2014,1,1,,,,
202,Togo,1972,2012,36,8,,,1,1,2014,2014,2,2,,,,
203,Tonga,1984,2012,31,6,,1,,1,2014,2014,1,1,,,,
204,Trinidad and Tobago,1948,2012,153,10,2,6,10,18,1994,2002,4,1,,,,
205,Tunisia,1960,2012,382,21,3,3,4,10,,,,,,,,
206,Turkey,1906,2012,677,22,39,25,24,88,1936,2014,61,3,,,,
207,Turkmenistan,1996,2012,33,8,,,,,,,,,,,,
208,Tuvalu,2008,2012,5,2,,,,,,,,,,,,
209,Uganda,1956,2012,162,9,2,3,2,7,,,,,,,,
210,Ukraine,1996,2012,817,29,33,27,55,115,1994,2014,198,13,2,1,4,7
211,Unified Team,1992,1992,475,27,45,38,29,112,1992,1992,129,12,9,6,8,23
212,United Arab Emirates,1984,2012,67,10,1,,,1,,,,,,,,
213,United Arab Republic,1960,1960,74,12,,1,1,2,,,,,,,,
214,United States,1896,2012,7602,44,990,764,671,2425,1924,2014,1697,16,96,102,84,282
215,United States Virgin Islands,1968,2012,121,10,,1,,1,1988,2014,26,3,,,,
216,Unknown,1912,1912,2,1,,,,,,,,,,,,
217,Uruguay,1924,2012,352,19,2,2,6,10,1998,1998,1,1,,,,
218,Uzbekistan,1996,2012,228,17,5,5,10,20,1994,2014,21,3,1,,,1
219,Vanuatu,1988,2012,22,5,,,,,,,,,,,,
220,Venezuela,1932,2012,488,27,2,2,8,12,1998,2014,5,2,,,,
,,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Summer Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games,Winter Games
Rk,Country,From,To,Participants,Sports,Gold,Silver,Bronze,Total,From,To,Participants,Sports,Gold,Silver,Bronze,Total
221,Vietnam,1980,2012,90,15,,2,,2,,,,,,,,
222,West Germany,1968,1988,1371,27,56,67,81,204,1968,1988,336,10,11,15,13,39
223,West Indies Federation,1960,1960,13,5,,,2,2,,,,,,,,
224,Yemen,1992,2012,25,6,,,,,,,,,,,,
225,Yugoslavia,1920,1988,1035,25,26,29,28,83,1924,1992,235,10,,3,1,4
226,Zambia,1964,2012,140,8,,1,1,2,,,,,,,,
227,Zimbabwe,1928,2012,166,14,3,4,1,8,2014,2014,1,1,,,,
