Country,Num_Gold,Num_Silver,Num_Bronze,TotalMedals,Income,Population_Size,GDP
Turkmenistan,0,0,0,0,0.4658,0.00512684,0.002388082
Tuvalu,0,0,0,0,0.34,1.05E-05,3.58E-06
United Arab Emirates,0,0,0,0,6.7008,0.008260536,0.055352198
Uruguay,0,0,0,0,1.4415,0.003318422,0.004783506
Vanuatu,0,0,0,0,0.3036,0.000224583,6.82E-05
Vietnam,0,0,0,0,0.1498,0.091513769,0.013708763
Virgin Islands,0,0,0,0,1.4369,0.000109754,0.000157706
Yemen,0,0,0,0,0.134,0.025140735,0.003368859
Zambia,0,0,0,0,0.1413,0.012929215,0.001826898
Zimbabwe,0,0,0,0,0.0487,0.012522029,0.000609823
